%Pressure	Flow_Calibrated	Flow_Filtered	R5	X5	R11	X11	R19	X19	#	Volume
0.4992	1.1682	0.1000	-0.0103	0.0034	-0.0178	-0.0093	-0.0226	0.0025	122	0.01513
0.3865	1.1274	0.0960	-0.0103	0.0034	-0.0178	-0.0093	-0.0226	0.0025	123	0.02076
0.2094	0.9289	0.0900	-0.0103	0.0034	-0.0178	-0.0093	-0.0226	0.0025	124	0.02541
0.0162	0.5711	0.0840	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	125	0.02826
-0.1609	0.1314	0.0750	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	126	0.02892
-0.2575	-0.2529	0.0660	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	127	0.02765
-0.2575	-0.4430	0.0560	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	128	0.02543
-0.2253	-0.4714	0.0440	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	129	0.02308
-0.1609	-0.4096	0.0330	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	130	0.02103
-0.1448	-0.3370	0.0200	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	131	0.01934
-0.1770	-0.3124	0.0080	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	132	0.01778
-0.2414	-0.3662	-0.0020	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	133	0.01594
-0.3219	-0.4902	-0.0140	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	134	0.01349
-0.3863	-0.6323	-0.0240	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	135	0.01033
-0.4185	-0.7379	-0.0330	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	136	0.00664
-0.3863	-0.7722	-0.0410	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	137	0.00277
-0.2736	-0.6987	-0.0480	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	138	-0.00072
-0.1287	-0.5042	-0.0520	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	139	-0.00324
0.0645	-0.2027	-0.0540	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	140	-0.00426
0.1772	0.1470	-0.0540	-0.0103	0.0034	-0.0178	0.0014	-0.0131	0.0025	141	-0.00353
0.2255	0.3777	-0.0520	-0.0103	0.0034	-0.0178	0.0014	-0.0131	0.0025	142	-0.00164
0.1933	0.4687	-0.0470	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	143	0.00070
0.0323	0.3484	-0.0410	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	144	0.00244
-0.1287	0.0685	-0.0330	-0.0103	0.0034	-0.0178	0.0014	-0.0226	0.0025	145	0.00278
-0.2736	-0.2629	-0.0230	-0.0103	0.0034	-0.0178	0.0014	-0.0131	0.0025	146	0.00147
-0.3541	-0.5274	-0.0120	-0.0103	0.0034	-0.0178	0.0014	-0.0131	0.0025	147	-0.00117
-0.3380	-0.6367	-0.0010	-0.0103	0.0034	-0.0178	0.0014	-0.0131	0.0025	148	-0.00436
-0.2253	-0.5826	0.0090	-0.0103	0.0034	-0.0178	0.0014	-0.0131	0.0025	149	-0.00727
-0.0482	-0.3807	0.0210	-0.0103	0.0034	-0.0271	0.0014	-0.0131	0.0025	150	-0.00918
0.1128	-0.0639	0.0320	-0.0103	0.0034	-0.0271	0.0014	-0.0131	0.0025	151	-0.00950
0.2416	0.2742	0.0430	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	152	-0.00813
0.3060	0.5157	0.0530	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	153	-0.00555
0.3060	0.6435	0.0620	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	154	-0.00234
0.2738	0.6614	0.0700	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	155	0.00097
0.2255	0.5939	0.0780	-0.0197	0.0034	-0.0271	0.0014	-0.0131	0.0025	156	0.00394
0.1933	0.5110	0.0830	-0.0197	0.0034	-0.0271	0.0014	-0.0131	0.0025	157	0.00649
0.1933	0.4593	0.0880	-0.0197	0.0034	-0.0271	0.0014	-0.0131	0.0025	158	0.00879
0.2255	0.4640	0.0910	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	159	0.01110
0.3060	0.5711	0.0920	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	160	0.01396
